ctrlCol,lotNumber,itemCode,itemName,deliveryLeadtimeId,itemOption1,itemOption2,itemOption3,itemOption4,itemOption5,itemOption6,itemOption7,itemOption8,itemOption9,itemOption10,itemOption11,itemOption12,itemOption13,itemOption14,itemOption15,itemOption16,itemOption17,itemOption18,itemOption19,itemOption20
U,345427018,cc-121,Its a boy!おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427016,cc-122,Its a girl!おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427021,cc-123,ご出産おめでとう!　おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427020,cc-124,メッセージクッキーご出産おめでとうございます-2,,,,,,,,,,,,,,,,,,,,,
U,345427019,cc-125,メッセージクッキーご出産おめでとうございます,,,,,,,,,,,,,,,,,,,,,
U,345427023,cc-126,出産おめでとう　おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427022,cc-127,メッセージクッキーHappy Wedding(flower ring),,,,,,,,,,,,,,,,,,,,,
U,345427024,cc-128,メッセージクッキーHappy Wedding(ネコ),,,,,,,,,,,,,,,,,,,,,
U,345427025,cc-129,メッセージクッキーHappy Wedding(トリ),,,,,,,,,,,,,,,,,,,,,
U,345427026,cc-13,メッセージクッキーイイネ!!　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427038,cc-15,メッセージクッキーこれからもよろしくね(虹)お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427040,cc-151,メッセージクッキーCONGRATS HAPPYDAY　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427039,cc-152,メッセージクッキーCongrats　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427041,cc-153,メッセージクッキーCONGRATULATION HAPPYDAY　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427043,cc-154,メッセージクッキーおめでとう(クマ)　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427042,cc-155,メッセージクッキーおめでとうございます　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427045,cc-156,メッセージクッキーおめでとうございます2　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427047,cc-157,メッセージクッキーおめでとうございます3　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427050,cc-158,メッセージクッキーおめでとうございます4　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427044,cc-159,メッセージクッキー祝　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427049,cc-16,メッセージクッキー（ごめんなさい）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427053,cc-160,メッセージクッキー祝2　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427046,cc-161,メッセージクッキーYou Can Do It!　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427052,cc-162,メッセージクッキーgoodluck　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427055,cc-163,メッセージクッキーGoodLuck with love　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427048,cc-164,メッセージクッキーGoodLuck with your life　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427054,cc-165,メッセージクッキーいつも応援してるよ!　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427057,cc-166,メッセージクッキー頑張ってください！　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427056,cc-167,メッセージクッキーGoodjob!　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
